Change Physical Footprint: Designator=C7 Old Footprint=KÒ4-35 New Footprint=KÒ4-35
Change Physical Footprint: Designator=L1 Old Footprint=Inductor New Footprint=Inductor
Change Physical Footprint: Designator=TP1 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=TP2 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=TP3 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=TP4 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=TP5 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=TP6 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X13 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X14 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X15 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X16 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X19 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X20 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X21 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X28 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X29 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X30 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X34 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X35 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X36 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X37 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X38 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X39 Old Footprint=PLS-1 New Footprint=PLS-1
Change Physical Footprint: Designator=X40 Old Footprint=PLS-1 New Footprint=PLS-1
